time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,8.999999742115028,17.000000327797792,19.003571948523383,0.0002975096896218332,0.0002445751046344924,0.0,-2.250915286483782e-05,2.808581369593775e-05,0.11905919953732161,0.013383337498798541,0.011186396341661556,0.0,441.61764209114267,442.53915624790613,443.18207897418336,444.28047182924246
0.12000000000000001,8.999987712128567,17.000013998569525,19.02009726664139,0.001004511205847436,0.001368104735065323,0.0,-0.0005024823169473094,0.0005286561527152977,0.4317190644431922,0.008374328274183265,0.03064699249620941,0.0,498.56989375212964,499.9893836466734,500.6642401555895,500.29959333420084
0.18,8.999915887883473,17.000072027444265,19.05237672916081,0.0011854479255077877,0.0036502086736520667,0.0,-0.0021395995074575797,0.0014496982098296854,0.6441665194469015,-0.010750711611328654,0.04976303834932358,0.0,470.27125332240263,471.7499889596362,472.64071278313185,471.1646307066362
0.23999999999999996,8.999682065977142,17.000185696383117,19.098479765349115,0.0004290227563465976,0.006349270367083548,0.0,-0.006008988453044307,0.002252588310567773,0.89243912569711,-0.016605421266343227,0.03312281588133485,0.0,484.35992145195866,483.10799549168155,480.71586708595584,480.2722095688061
0.3,8.9991716940444,17.000326754896836,19.1565946297662,6.282999270033104,0.008758387921467659,0.0,-0.011246811264423583,0.0023634820810516785,1.0445943135371702,0.00012518530419444642,0.051417880029625565,0.0,453.60389596536584,455.0712858984763,452.93508543875276,454.2785654405575
0.36000000000000004,8.99829050050173,17.00046519566579,19.22373957988465,0.00035800226764948206,0.011760826633560484,0.0,-0.018457595630523106,0.0022859909721577804,1.193423613639534,0.02270372734606351,0.04713427016035782,0.0,453.74677711072076,453.40431770084916,451.99937043494987,453.8150459926835
0.4200000000000001,8.996865762614751,17.00061801030762,19.303515105899617,0.0014439591361989912,0.01457572793366424,0.0,-0.02938949942070476,0.002966354024246899,1.4654476623873816,0.006777194269646766,0.04647302205921889,0.0,489.85231259924797,489.8042366321762,490.4894030922947,489.3052165292127
0.48000000000000015,8.994676672301274,17.000839693403552,19.401968857027054,0.0023733827577174793,0.01760130504201385,0.0,-0.043978359346460744,0.004520830805963861,1.8158491041158726,0.02885466291239511,0.05734527079305649,0.0,511.7800008885916,512.5544152518103,511.5732502949099,513.1426175626966
0.5400000000000001,8.991586511964183,17.00117752932018,19.51801281754484,0.003983712974658715,0.020662240668651854,0.0,-0.0594224871120384,0.0069437231475739485,2.051881411507508,0.022467854437578434,0.03370410663951312,0.0,482.1044139549233,480.31631404971284,481.537363157718,481.05411590712794
0.6000000000000002,8.987618373285171,17.001675146853955,19.642615081940217,0.005220779785179097,0.022446934053184542,0.0,-0.07302830493535772,0.009765579807913724,2.1014324969492075,0.016634419916662462,0.020339552560239754,0.0,425.5101307037423,424.3648508790795,424.94495488928203,424.44464110054156
0.6600000000000003,8.98272617381125,17.00238272103873,19.773555847505495,0.006144156370734066,0.023331062686430926,0.0,-0.09015887499573777,0.013925415190034825,2.2629500547873103,0.012776037716033053,0.00012115008715563036,0.0,460.68091797827606,459.0794256951855,460.7701853774663,460.4649624235367
0.7200000000000003,8.976755372917728,17.00336953224034,19.915726753231155,0.007003929661361319,0.023070545249288088,0.0,-0.1088451876369544,0.01906222306939934,2.4756433317771216,0.01726832744248008,-0.015233399472739335,0.0,477.1538624598803,475.98035224699146,475.48864241898843,475.83252956724044
0.7800000000000004,8.969723569387648,17.00467121540556,20.06845789757326,0.008582387526063329,0.02253947119582911,0.0,-0.12546614892411917,0.024470592879590917,2.615086208647904,0.040056714294987944,0.001562374767850849,0.0,454.7999427489698,456.14326853248025,453.81962880690696,455.64518854565347
0.8400000000000004,8.961741935905984,17.006320694640763,20.227775899562232,0.011052720487798595,0.023164197737500558,0.0,-0.14062414046431526,0.030751835145310588,2.695323865400907,0.04331419550714415,0.02393909892887519,0.0,436.58353188424996,438.44647951706395,436.8955408682416,437.1679759910618
0.9000000000000005,8.9527807701297,17.008423479206062,20.394170282463456,0.013218401918475564,0.02467405542369594,0.0,-0.1582353123775563,0.03960645593683114,2.8507725357168217,0.014959838708420109,0.027508224679868416,0.0,460.6348309739772,460.9170664017751,462.3949166869388,460.1562974719351
0.9600000000000005,8.942727766784017,17.01110041250349,20.569913488069663,0.014969724120831529,0.026300767034276085,0.0,-0.17703590863874746,0.04977550748617946,3.006928259934001,0.04835162092373238,0.02630722841789581,0.0,462.1746404887726,462.0801144933905,460.626122865262,463.2594343374761
1.0200000000000005,8.931558650299982,17.014406068922373,20.753216487936445,0.018308489899740543,0.027884340786617834,0.0,-0.1954218570734239,0.06072828365239472,3.102904437905332,0.06725291767766915,0.026563658587615866,0.0,444.7025928930798,444.72374344336123,443.2488801741719,444.80154406582324
1.0800000000000005,8.919335727538346,17.01838601361831,20.93936441659473,0.022596594147955784,0.029532336598986575,0.0,-0.212150629256438,0.07229977661254999,3.10201529546275,0.07878662695298079,0.029213676055153164,0.0,413.99865010069374,414.23200532127066,412.2597751927117,413.28196489281316
1.1400000000000006,8.905974876496664,17.023219590168033,21.128932875880817,0.027458042827864126,0.031831829907392084,0.0,-0.23341768434872814,0.08931136622516567,3.2165957289664497,0.08515820601810137,0.05215706326474227,0.0,449.5226509324226,451.3787014568466,450.83862512421996,451.35832743805463
